SUP_ID,STA_NM_ANFR,NAT_ID,latitude,longitude,SUP_NM_HAUT,COM_CD_INSEE
595961,0780220045,24,48.73111111111111,2.0380555555555553,"26,4",78406
595961,0782290157,24,48.73111111111111,2.0380555555555553,"26,4",78406
377774,0780160001,17,48.9775,2.0616666666666665,8,78015
377788,0780160003,17,49.02861111111111,1.6169444444444445,12,78391
377762,0780160004,17,48.87,2.1302777777777777,"5,5",78092
377082,0780160005,17,48.89416666666666,2.164722222222222,8,78146
878063,0780230004,17,48.76138888888889,1.9305555555555554,13,78383
881509,0780230018,19,48.692499999999995,2.0330555555555554,25,78160
877366,0780230026,17,48.94083333333333,2.035833333333333,10,78123
918006,0780230030,17,48.9775,1.6975,10,78354
241342,0780250002,17,48.77444444444444,2.0083333333333333,27,78621
241344,0780250002,17,48.772777777777776,2.0125,6,78621
3094511,0780250002,17,48.77361111111111,2.011111111111111,16,78621
40467,0782700183,38,48.78111111111111,2.1963888888888885,34,78640
40467,0780990047,38,48.78111111111111,2.1963888888888885,34,78640
575660,0780710001,11,48.549166666666665,1.791111111111111,40,78506
575366,0780710001,23,48.55,1.7941666666666665,40,78506
575646,0780710001,11,48.55,1.7916666666666665,40,78506
575751,0780710001,11,48.55027777777777,1.7941666666666665,20,78506
575753,0780710001,11,48.55138888888889,1.7913888888888887,20,78506
575434,0780710001,11,48.55166666666666,1.7933333333333332,40,78506
575749,0780710001,11,48.54861111111111,1.7919444444444443,40,78506
575755,0780710001,11,48.54972222222222,1.7955555555555553,20,78506
575757,0780710001,34,48.54861111111111,1.795,0,78506
85879,0782750055,10,48.91138888888889,2.0933333333333333,8,78551
46722,0782750355,23,48.970555555555556,1.7722222222222221,62,78501
40209,0782700052,38,48.791666666666664,2.1463888888888887,27,78646
1051685,0782750214,26,48.9,2.0052777777777777,11,78007
120388,0782750379,26,48.794999999999995,2.0466666666666664,30,78423
120388,0782700260,26,48.794999999999995,2.0466666666666664,30,78423
157595,0780030421,999999999,48.75666666666667,2.064722222222222,12,78356
