new_unique_candidate_id,old_unique_candidate_id,distance_match_m,review_status
D008,U013,0.0,plausible
D003,U019,5.4540964855412136e-05,plausible
D021,U017,0.006847731078034012,faux_positif
D015,U018,0.01789815141699041,plausible
D020,U010,0.031065052621210093,plausible
D009,U004,0.036296244864337045,plausible
D018,U001,0.04149240881776416,plausible
D011,U009,0.0443045287508274,plausible
D001,U015,0.04765327975663752,plausible
D006,U012,0.05570184441837975,plausible
D010,U008,0.07135056170009609,plausible
D014,U022,0.07712648007231455,plausible
D005,U020,0.08838126384156991,plausible
D002,U011,0.13549343595198202,plausible
D017,U003,0.15401131146424635,plausible
D016,U007,0.15922279209547682,plausible
D019,U014,0.2087183425132452,plausible
D007,U002,0.24954396100133722,plausible
D013,U016,0.3622871362367794,plausible
D004,U006,0.388965397630531,plausible
D012,U005,1.0325119649029055,plausible
