zone_id,centre_SUP_ID,centre_latitude,centre_longitude,supports_500m,supports_dans_emprise,patches,north,south,west,east
dense,2274825,48.7975,2.13,16,17,25,48.8020230146336,48.79297684063092,2.123134732246399,2.136867642402649
intermediaire,1122334,48.47916666666667,1.853055555555556,3,3,25,48.48371756461955,48.47461412366195,1.8461886048316956,1.8599215149879456
peu_dense,458152,49.074444444444445,1.5130555555555556,1,1,25,49.07894183525135,49.06994570948064,1.5061891078948975,1.5199220180511475
