zone_id,image,relative_image_path,row,col,zoom,world_left,world_top,world_right,world_bottom,center_latitude,center_longitude,north,south,west,east
peu_dense,peu_dense_r00_c00.jpg,zones/peu_dense/images/peu_dense_r00_c00.jpg,0,0,19,67670412,46048439,67671436,46049463,49.078042295986286,1.5075623989105225,49.07894183525135,49.07714274042984,1.5061891078948975,1.5089356899261475
peu_dense,peu_dense_r00_c01.jpg,zones/peu_dense/images/peu_dense_r00_c01.jpg,0,1,19,67671436,46048439,67672460,46049463,49.078042295986286,1.5103089809417725,49.07894183525135,49.07714274042984,1.5089356899261475,1.5116822719573975
peu_dense,peu_dense_r00_c02.jpg,zones/peu_dense/images/peu_dense_r00_c02.jpg,0,2,19,67672460,46048439,67673484,46049463,49.078042295986286,1.5130555629730225,49.07894183525135,49.07714274042984,1.5116822719573975,1.5144288539886475
peu_dense,peu_dense_r00_c03.jpg,zones/peu_dense/images/peu_dense_r00_c03.jpg,0,3,19,67673484,46048439,67674508,46049463,49.078042295986286,1.5158021450042725,49.07894183525135,49.07714274042984,1.5144288539886475,1.5171754360198975
peu_dense,peu_dense_r00_c04.jpg,zones/peu_dense/images/peu_dense_r00_c04.jpg,0,4,19,67674508,46048439,67675532,46049463,49.078042295986286,1.5185487270355225,49.07894183525135,49.07714274042984,1.5171754360198975,1.5199220180511475
peu_dense,peu_dense_r01_c00.jpg,zones/peu_dense/images/peu_dense_r01_c00.jpg,1,0,19,67670412,46049463,67671436,46050487,49.07624316858199,1.5075623989105225,49.07714274042984,49.07534358044263,1.5061891078948975,1.5089356899261475
peu_dense,peu_dense_r01_c01.jpg,zones/peu_dense/images/peu_dense_r01_c01.jpg,1,1,19,67671436,46049463,67672460,46050487,49.07624316858199,1.5103089809417725,49.07714274042984,49.07534358044263,1.5089356899261475,1.5116822719573975
peu_dense,peu_dense_r01_c02.jpg,zones/peu_dense/images/peu_dense_r01_c02.jpg,1,2,19,67672460,46049463,67673484,46050487,49.07624316858199,1.5130555629730225,49.07714274042984,49.07534358044263,1.5116822719573975,1.5144288539886475
peu_dense,peu_dense_r01_c03.jpg,zones/peu_dense/images/peu_dense_r01_c03.jpg,1,3,19,67673484,46049463,67674508,46050487,49.07624316858199,1.5158021450042725,49.07714274042984,49.07534358044263,1.5144288539886475,1.5171754360198975
peu_dense,peu_dense_r01_c04.jpg,zones/peu_dense/images/peu_dense_r01_c04.jpg,1,4,19,67674508,46049463,67675532,46050487,49.07624316858199,1.5185487270355225,49.07714274042984,49.07534358044263,1.5171754360198975,1.5199220180511475
peu_dense,peu_dense_r02_c00.jpg,zones/peu_dense/images/peu_dense_r02_c00.jpg,2,0,19,67670412,46050487,67671436,46051511,49.07444397601167,1.5075623989105225,49.07534358044263,49.073544355289066,1.5061891078948975,1.5089356899261475
peu_dense,peu_dense_r02_c01.jpg,zones/peu_dense/images/peu_dense_r02_c01.jpg,2,1,19,67671436,46050487,67672460,46051511,49.07444397601167,1.5103089809417725,49.07534358044263,49.073544355289066,1.5089356899261475,1.5116822719573975
peu_dense,peu_dense_r02_c02.jpg,zones/peu_dense/images/peu_dense_r02_c02.jpg,2,2,19,67672460,46050487,67673484,46051511,49.07444397601167,1.5130555629730225,49.07534358044263,49.073544355289066,1.5116822719573975,1.5144288539886475
peu_dense,peu_dense_r02_c03.jpg,zones/peu_dense/images/peu_dense_r02_c03.jpg,2,3,19,67673484,46050487,67674508,46051511,49.07444397601167,1.5158021450042725,49.07534358044263,49.073544355289066,1.5144288539886475,1.5171754360198975
peu_dense,peu_dense_r02_c04.jpg,zones/peu_dense/images/peu_dense_r02_c04.jpg,2,4,19,67674508,46050487,67675532,46051511,49.07444397601167,1.5185487270355225,49.07534358044263,49.073544355289066,1.5171754360198975,1.5199220180511475
peu_dense,peu_dense_r03_c00.jpg,zones/peu_dense/images/peu_dense_r03_c00.jpg,3,0,19,67670412,46051511,67671436,46052535,49.07264471827474,1.5075623989105225,49.073544355289066,49.0717450649686,1.5061891078948975,1.5089356899261475
peu_dense,peu_dense_r03_c01.jpg,zones/peu_dense/images/peu_dense_r03_c01.jpg,3,1,19,67671436,46051511,67672460,46052535,49.07264471827474,1.5103089809417725,49.073544355289066,49.0717450649686,1.5089356899261475,1.5116822719573975
peu_dense,peu_dense_r03_c02.jpg,zones/peu_dense/images/peu_dense_r03_c02.jpg,3,2,19,67672460,46051511,67673484,46052535,49.07264471827474,1.5130555629730225,49.073544355289066,49.0717450649686,1.5116822719573975,1.5144288539886475
peu_dense,peu_dense_r03_c03.jpg,zones/peu_dense/images/peu_dense_r03_c03.jpg,3,3,19,67673484,46051511,67674508,46052535,49.07264471827474,1.5158021450042725,49.073544355289066,49.0717450649686,1.5144288539886475,1.5171754360198975
