zone_id,image,relative_image_path,row,col,zoom,world_left,world_top,world_right,world_bottom,center_latitude,center_longitude,north,south,west,east
intermediaire,intermediaire_r00_c00.jpg,zones/intermediaire/images/intermediaire_r00_c00.jpg,0,0,19,67797173,46385224,67798197,46386248,48.48280729403815,1.8475618958473206,48.48371756461955,48.4818970071204,1.8461886048316956,1.8489351868629456
intermediaire,intermediaire_r00_c01.jpg,zones/intermediaire/images/intermediaire_r00_c01.jpg,0,1,19,67798197,46385224,67799221,46386248,48.48280729403815,1.8503084778785706,48.48371756461955,48.4818970071204,1.8489351868629456,1.8516817688941956
intermediaire,intermediaire_r00_c02.jpg,zones/intermediaire/images/intermediaire_r00_c02.jpg,0,2,19,67799221,46385224,67800245,46386248,48.48280729403815,1.8530550599098206,48.48371756461955,48.4818970071204,1.8516817688941956,1.8544283509254456
intermediaire,intermediaire_r00_c03.jpg,zones/intermediaire/images/intermediaire_r00_c03.jpg,0,3,19,67800245,46385224,67801269,46386248,48.48280729403815,1.8558016419410706,48.48371756461955,48.4818970071204,1.8544283509254456,1.8571749329566956
intermediaire,intermediaire_r00_c04.jpg,zones/intermediaire/images/intermediaire_r00_c04.jpg,0,4,19,67801269,46385224,67802293,46386248,48.48280729403815,1.8585482239723206,48.48371756461955,48.4818970071204,1.8571749329566956,1.8599215149879456
intermediaire,intermediaire_r01_c00.jpg,zones/intermediaire/images/intermediaire_r01_c00.jpg,1,0,19,67797173,46386248,67798197,46387272,48.48098670386623,1.8475618958473206,48.4818970071204,48.48007638427557,1.8461886048316956,1.8489351868629456
intermediaire,intermediaire_r01_c01.jpg,zones/intermediaire/images/intermediaire_r01_c01.jpg,1,1,19,67798197,46386248,67799221,46387272,48.48098670386623,1.8503084778785706,48.4818970071204,48.48007638427557,1.8489351868629456,1.8516817688941956
intermediaire,intermediaire_r01_c02.jpg,zones/intermediaire/images/intermediaire_r01_c02.jpg,1,2,19,67799221,46386248,67800245,46387272,48.48098670386623,1.8530550599098206,48.4818970071204,48.48007638427557,1.8516817688941956,1.8544283509254456
intermediaire,intermediaire_r01_c03.jpg,zones/intermediaire/images/intermediaire_r01_c03.jpg,1,3,19,67800245,46386248,67801269,46387272,48.48098670386623,1.8558016419410706,48.4818970071204,48.48007638427557,1.8544283509254456,1.8571749329566956
intermediaire,intermediaire_r01_c04.jpg,zones/intermediaire/images/intermediaire_r01_c04.jpg,1,4,19,67801269,46386248,67802293,46387272,48.48098670386623,1.8585482239723206,48.4818970071204,48.48007638427557,1.8571749329566956,1.8599215149879456
intermediaire,intermediaire_r02_c00.jpg,zones/intermediaire/images/intermediaire_r02_c00.jpg,2,0,19,67797173,46387272,67798197,46388296,48.479166048348375,1.8475618958473206,48.48007638427557,48.47825569608456,1.8461886048316956,1.8489351868629456
intermediaire,intermediaire_r02_c01.jpg,zones/intermediaire/images/intermediaire_r02_c01.jpg,2,1,19,67798197,46387272,67799221,46388296,48.479166048348375,1.8503084778785706,48.48007638427557,48.47825569608456,1.8489351868629456,1.8516817688941956
intermediaire,intermediaire_r02_c02.jpg,zones/intermediaire/images/intermediaire_r02_c02.jpg,2,2,19,67799221,46387272,67800245,46388296,48.479166048348375,1.8530550599098206,48.48007638427557,48.47825569608456,1.8516817688941956,1.8544283509254456
intermediaire,intermediaire_r02_c03.jpg,zones/intermediaire/images/intermediaire_r02_c03.jpg,2,3,19,67800245,46387272,67801269,46388296,48.479166048348375,1.8558016419410706,48.48007638427557,48.47825569608456,1.8544283509254456,1.8571749329566956
intermediaire,intermediaire_r02_c04.jpg,zones/intermediaire/images/intermediaire_r02_c04.jpg,2,4,19,67801269,46387272,67802293,46388296,48.479166048348375,1.8585482239723206,48.48007638427557,48.47825569608456,1.8571749329566956,1.8599215149879456
