SUP_ID,latitude,longitude,image,statut
3122827,48.99944444444444,1.7430555555555556,support_3122827.jpg,existante
839864,48.80583333333333,2.1327777777777777,support_839864.jpg,existante
2703207,48.97777777777778,1.8044444444444443,support_2703207.jpg,existante
589413,48.57611111111112,1.8786111111111112,support_589413.jpg,existante
2724737,48.79861111111111,1.930277777777777,support_2724737.jpg,existante
604679,48.939722222222215,1.9525,support_604679.jpg,existante
1700996,48.97027777777778,2.0275,support_1700996.jpg,existante
439424,48.56638888888889,1.9430555555555555,support_439424.jpg,existante
2929025,48.87611111111112,2.140833333333333,support_2929025.jpg,existante
1726458,48.65277777777778,1.8208333333333333,support_1726458.jpg,existante
2732579,48.92111111111111,2.003055555555556,support_2732579.jpg,existante
2907581,48.76916666666666,1.9647222222222225,support_2907581.jpg,existante
3308232,48.75416666666667,2.0758333333333336,support_3308232.jpg,existante
2584822,48.88555555555556,1.8525,support_2584822.jpg,existante
1746478,48.81333333333333,1.7469444444444444,support_1746478.jpg,existante
437711,48.62555555555556,1.7694444444444444,support_437711.jpg,existante
902986,48.53611111111111,1.8288888888888888,support_902986.jpg,existante
349577,48.91277777777778,2.1725,support_349577.jpg,existante
450498,48.82638888888889,2.125,support_450498.jpg,existante
816634,48.9,2.158611111111111,support_816634.jpg,existante
816678,48.77777777777778,2.2225,support_816678.jpg,existante
2737355,49.05805555555556,1.53,support_2737355.jpg,existante
474246,48.97666666666667,1.9158333333333333,support_474246.jpg,existante
2577887,48.71388888888889,1.6502777777777775,support_2577887.jpg,existante
926066,48.54277777777778,1.9066666666666665,support_926066.jpg,existante
2089714,48.61555555555556,1.922222222222222,support_2089714.jpg,existante
483343,48.88361111111111,2.013888888888889,support_483343.jpg,existante
2969488,49.03666666666666,1.708611111111111,support_2969488.jpg,existante
1747512,48.797777777777775,1.6202777777777777,support_1747512.jpg,existante
532167,48.74361111111112,2.045,support_532167.jpg,existante
451755,48.89111111111111,1.6652777777777776,support_451755.jpg,existante
901986,48.57027777777778,1.9902777777777776,support_901986.jpg,existante
797912,48.89694444444444,1.6802777777777775,support_797912.jpg,existante
1636055,48.52111111111111,1.8277777777777775,support_1636055.jpg,existante
2539401,48.92055555555555,2.199722222222222,support_2539401.jpg,existante
2950242,48.98,1.9591666666666667,support_2950242.jpg,existante
467036,49.03444444444444,1.5675,support_467036.jpg,existante
512191,48.84861111111111,2.136388888888889,support_512191.jpg,existante
2326356,48.78333333333333,1.97,support_2326356.jpg,existante
1607992,48.78527777777778,1.9944444444444445,support_1607992.jpg,existante
790313,48.956944444444446,2.169722222222222,support_790313.jpg,existante
465422,48.66888888888889,1.8686111111111112,support_465422.jpg,existante
1813857,48.93361111111111,2.176388888888889,support_1813857.jpg,existante
996784,48.95194444444445,1.8611111111111112,support_996784.jpg,existante
2001210,48.774166666666666,2.0733333333333337,support_2001210.jpg,existante
1318903,48.8775,2.123333333333333,support_1318903.jpg,existante
2910973,48.986666666666665,2.046944444444444,support_2910973.jpg,existante
2959572,48.928888888888885,2.145277777777778,support_2959572.jpg,existante
3343532,48.80833333333333,2.0105555555555554,support_3343532.jpg,existante
2883029,48.778055555555554,1.8944444444444444,support_2883029.jpg,existante
524176,48.78055555555555,1.9666666666666668,support_524176.jpg,existante
518734,48.96305555555556,1.7472222222222222,support_518734.jpg,existante
1742531,48.930277777777775,2.1630555555555557,support_1742531.jpg,existante
3343123,49.005833333333335,1.9261111111111109,support_3343123.jpg,existante
614862,48.90222222222222,2.004722222222222,support_614862.jpg,existante
2959431,48.78638888888889,2.0747222222222224,support_2959431.jpg,existante
577284,48.52666666666666,1.9508333333333328,support_577284.jpg,existante
648503,48.90888888888889,1.7819444444444443,support_648503.jpg,existante
2335970,48.90111111111111,2.073055555555556,support_2335970.jpg,existante
2103650,48.967777777777776,2.0330555555555554,support_2103650.jpg,existante
312446,48.84944444444445,2.15,support_312446.jpg,existante
615301,48.530277777777776,1.913611111111111,support_615301.jpg,existante
1425246,48.769444444444446,1.9877777777777776,support_1425246.jpg,existante
2993073,48.79083333333333,1.9672222222222224,support_2993073.jpg,existante
526776,49.02555555555556,1.6108333333333331,support_526776.jpg,existante
1043170,49.011944444444445,2.0019444444444443,support_1043170.jpg,existante
467551,48.66361111111111,1.746388888888889,support_467551.jpg,existante
526782,48.99027777777778,1.711666666666667,support_526782.jpg,existante
465998,48.98361111111111,1.8047222222222223,support_465998.jpg,existante
2220045,48.805,2.1441666666666666,support_2220045.jpg,existante
3049947,48.771388888888886,2.2258333333333336,support_3049947.jpg,existante
1490887,48.88138888888889,1.971388888888889,support_1490887.jpg,existante
545761,48.781666666666666,2.029166666666667,support_545761.jpg,existante
2438456,48.80416666666667,1.8527777777777776,support_2438456.jpg,existante
825453,48.98583333333333,2.111388888888889,support_825453.jpg,existante
2306019,48.97972222222222,1.688611111111111,support_2306019.jpg,existante
461720,48.88944444444444,2.0844444444444448,support_461720.jpg,existante
816583,48.96361111111111,1.8336111111111115,support_816583.jpg,existante
532763,48.973888888888894,2.006111111111111,support_532763.jpg,existante
796927,48.91388888888888,2.1975,support_796927.jpg,existante
1352134,48.79527777777778,2.0575,support_1352134.jpg,existante
648499,48.88638888888889,1.7341666666666666,support_648499.jpg,existante
524594,48.98277777777778,1.906388888888889,support_524594.jpg,existante
1942987,48.52722222222222,1.8316666666666663,support_1942987.jpg,existante
1687463,48.93305555555556,1.970555555555556,support_1687463.jpg,existante
3335382,48.61055555555556,1.7361111111111112,support_3335382.jpg,existante
2772479,48.80583333333333,2.1294444444444447,support_2772479.jpg,existante
816680,48.80444444444444,2.05,support_816680.jpg,existante
3109099,48.89666666666667,1.6805555555555554,support_3109099.jpg,existante
475297,48.94277777777778,1.5430555555555554,support_475297.jpg,existante
2725044,48.88111111111111,2.0966666666666667,support_2725044.jpg,existante
2335901,48.80805555555556,2.0388888888888888,support_2335901.jpg,existante
2723880,48.89888888888889,2.1130555555555555,support_2723880.jpg,ok
632199,48.94194444444444,1.918611111111111,support_632199.jpg,ok
1894294,48.79444444444445,2.138055555555556,support_1894294.jpg,ok
1773555,48.89833333333333,2.0947222222222224,support_1773555.jpg,ok
435203,48.91583333333333,1.9002777777777775,support_435203.jpg,ok
3043211,48.9925,1.731666666666667,support_3043211.jpg,ok
2402702,48.76777777777777,1.9769444444444448,support_2402702.jpg,ok
545412,48.86638888888889,2.035555555555556,support_545412.jpg,ok
525761,48.95333333333333,1.605,support_525761.jpg,ok
2622134,48.98277777777778,1.679722222222222,support_2622134.jpg,ok
3116161,48.99916666666667,2.011111111111111,support_3116161.jpg,ok
1490887,48.88138888888889,1.971388888888889,support_1490887.jpg,existante
530550,48.89,2.153888888888889,support_530550.jpg,ok
839909,48.97583333333333,1.7197222222222224,support_839909.jpg,ok
594859,48.895833333333336,2.068888888888889,support_594859.jpg,ok
2736355,48.77222222222222,1.9913888888888889,support_2736355.jpg,ok
1490887,48.88138888888889,1.971388888888889,support_1490887.jpg,existante
1457112,49.05055555555556,1.6555555555555554,support_1457112.jpg,ok
1443559,48.946666666666665,1.8005555555555557,support_1443559.jpg,ok
1477752,48.822500000000005,1.718888888888889,support_1477752.jpg,ok
2724719,48.83416666666667,2.086666666666667,support_2724719.jpg,ok
1676378,48.79055555555556,2.0613888888888887,support_1676378.jpg,ok
1443559,48.946666666666665,1.8005555555555557,support_1443559.jpg,existante
1701008,49.00611111111111,1.9144444444444444,support_1701008.jpg,ok
594845,48.95472222222222,1.715833333333333,support_594845.jpg,ok
461724,48.98972222222222,1.7177777777777778,support_461724.jpg,ok
524594,48.98277777777778,1.906388888888889,support_524594.jpg,existante
2205067,48.8525,2.049444444444444,support_2205067.jpg,ok
800626,49.000277777777775,1.679722222222222,support_800626.jpg,ok
2514149,48.945277777777775,1.7455555555555555,support_2514149.jpg,ok
2509689,48.97916666666667,1.5380555555555555,support_2509689.jpg,ok
3297519,48.93944444444444,2.1219444444444444,support_3297519.jpg,ok
1471811,48.785,2.0652777777777778,support_1471811.jpg,ok
3043118,48.77444444444444,2.049722222222222,support_3043118.jpg,ok
589413,48.57611111111112,1.8786111111111112,support_589413.jpg,existante
2335975,48.88,2.078888888888889,support_2335975.jpg,ok
720937,48.95916666666667,2.136388888888889,support_720937.jpg,ok
452226,48.63361111111111,1.9427777777777775,support_452226.jpg,ok
583197,48.87805555555556,2.1244444444444444,support_583197.jpg,ok
120388,48.795,2.0466666666666664,support_120388.jpg,ok
518562,49.005,1.6033333333333335,support_518562.jpg,ok
1540712,48.99861111111111,2.078055555555556,support_1540712.jpg,ok
816674,48.94694444444444,2.1444444444444444,support_816674.jpg,ok
443355,48.85444444444445,1.8191666666666664,support_443355.jpg,ok
480664,48.69861111111111,2.055555555555556,support_480664.jpg,ok
798518,48.97861111111112,2.065555555555556,support_798518.jpg,ok
1510587,48.97527777777778,2.077777777777778,support_1510587.jpg,ok
480664,48.69861111111111,2.055555555555556,support_480664.jpg,existante
2256916,49.05055555555556,1.6549999999999998,support_2256916.jpg,ok
615344,48.4975,1.8958333333333333,support_615344.jpg,ok
2783727,48.95611111111111,1.8644444444444448,support_2783727.jpg,ok
450314,48.79944444444444,1.7033333333333334,support_450314.jpg,ok
2028699,48.90555555555555,2.0475,support_2028699.jpg,ok
526364,48.82888888888889,1.646388888888889,support_526364.jpg,ok
652062,49.0125,1.8172222222222223,support_652062.jpg,ok
526782,48.99027777777778,1.711666666666667,support_526782.jpg,existante
2725179,48.845,2.0872222222222225,support_2725179.jpg,ok
794135,48.90916666666666,2.029166666666667,support_794135.jpg,ok
2225680,48.96861111111112,1.924722222222222,support_2225680.jpg,ok
1647057,48.833333333333336,1.7222222222222223,support_1647057.jpg,ok
439613,48.99361111111112,1.6805555555555554,support_439613.jpg,ok
2955276,48.98083333333334,1.7544444444444445,support_2955276.jpg,ok
526265,48.77555555555556,2.093611111111111,support_526265.jpg,ok
1694177,48.78416666666666,2.1841666666666666,support_1694177.jpg,ok
2509689,48.97916666666667,1.5380555555555555,support_2509689.jpg,existante
532763,48.973888888888894,2.006111111111111,support_532763.jpg,existante
435203,48.91583333333333,1.9002777777777775,support_435203.jpg,existante
469782,48.70583333333334,2.055555555555556,support_469782.jpg,ok
2836734,48.91916666666666,1.5941666666666667,support_2836734.jpg,ok
3229229,49.00333333333333,1.69,support_3229229.jpg,ok
508208,49.025277777777774,1.593611111111111,support_508208.jpg,ok
526364,48.82888888888889,1.646388888888889,support_526364.jpg,existante
450498,48.82638888888889,2.125,support_450498.jpg,existante
815803,48.76111111111111,2.136388888888889,support_815803.jpg,ok
2716093,48.97,1.7105555555555556,support_2716093.jpg,ok
2737355,49.05805555555556,1.53,support_2737355.jpg,existante
1929536,48.79444444444445,2.1347222222222224,support_1929536.jpg,ok
1942432,48.83972222222222,2.11,support_1942432.jpg,ok
1966355,48.86,2.1463888888888887,support_1966355.jpg,ok
1676036,48.524166666666666,1.8277777777777775,support_1676036.jpg,ok
3018715,48.77583333333333,2.0477777777777777,support_3018715.jpg,ok
1702609,48.86694444444444,2.051388888888889,support_1702609.jpg,ok
1748207,48.62583333333333,1.7688888888888887,support_1748207.jpg,ok
532167,48.74361111111112,2.045,support_532167.jpg,existante
1473972,48.990833333333335,1.9927777777777775,support_1473972.jpg,ok
3171566,49.047777777777775,1.481388888888889,support_3171566.jpg,ok
532540,48.99805555555556,2.0975,support_532540.jpg,ok
2227729,49.065,1.663611111111111,support_2227729.jpg,ok
794061,48.79277777777778,2.1327777777777777,support_794061.jpg,ok
2976268,48.75111111111111,2.082777777777778,support_2976268.jpg,ok
